img,title,text,page_name,
2026_03_31.png,SEMANTiCS is also about Community Building,"The research ecosystem is inherently dynamic and diverse. As researchers progress through their careers, their interests evolve, shaped by their ...",2026-03-31,
2026_02_26.png,Ghent!,"You might wonder why this city has not been the scene for the SEMANTiCS conference before. It is a city full of history on consensus making and innovation that we hold so ...",2026-02-26,
2025_11_12.png,W3C Data Façades Community Group (Facade-X) Launches Following SEMANTiCS Origins,"The W3C Data Facade Community Group, known as Facade-X, officially launched ...",2025-11-12,
2025_09_06.png,This was SEMANTiCS 2025!,"The SEMANTiCS 2025 Conference took place in Vienna, Austria, this September — once again bringing together the global community of experts in semantic technologies, data ...",2025-09-06,
2025_08_25.png,Bilateral AI Cluster of Excellence at SEMANTiCS 2025,"The Bilateral AI Austrian Science Fund (FWF) Cluster of Excellence is conducting fundamental research into the combination ...",2025-08-25,
2025_06_25.png,Hot Trends and Use Cases for Semantics: A SEMANTiCS 2025 Industry Perspective,"The SEMANTiCS conference has always fostered a unique environment where cutting-edge academic research and ...",2025-06-25,
2025_06_17.png,Where SEMANTiCS is headed to in 2025?,"As we approach this year’s SEMANTiCS conference, the excitement around the Research and Innovation Track is perceivable. The past few years have seen a dramatic ...",2025-06-17,
2025_05_13.png,Unlocking machine-actionable Scholarly Knowledge with the ORKG at SEMANTiCS 2025,"Navigating the vast ocean of scholarly literature can feel overwhelming as the scientific output accelerates at an ...",2025-05-13,
2025_04_22.png,From the Highlights of SEMANTiCS 2024 to the Anticipated Innovations of SEMANTiCS 2025,"Last year, SEMANTiCS, leading conference in Semantic Web, Knowledge Graphs (KGs), and Artificial Intelligence (AI), ...",2025-04-22,
2025_4_7.png,SEMANTiCS 2025: Where Meaning Powers the Future of AI!,"The 21st edition of the SEMANTiCS conference is coming to Vienna in September 2025 — and this year, more than ever, we’re calling on the ...",2025-04-7,
