type,url,img,name,img_ratio
gold,https://graphwise.ai/,"graphwise RGB  1200.png",graphwise,64/
silver,https://www.digital-science.com/,digital-science.png,digital-science,64/
silver,https://www.cogni.zone/,cognizone-horizontal.png,cognizone,64/
silver,https://www.redpencil.io/,redpencil.png,redpencil,64/
silver,https://eccenca.com/,eccenca.png,eccenca,64/
bluesky,https://cra.org/ccc/,"CCC Logo.png",ccc,64
orkg,https://orkg.org/,"orkg.svg",orkg,64
student,https://aij.ijcai.org/,"aij.jpg",aij,40
silver,https://www.soprasteria.com/,LOGO_SOPRA_STERIA_RVB.png,sopra,64
silver,https://inuits.it/,inuits.png,inuits,40
silver,https://sirus.be/,SIRUS_Logo.png,sirus,64
